,text,Label,Transcript,Canonical,Error
872,HISPANIC COSTUMES ARE QUITE COLORFUL ,TRAIN/DR3/MWDK0/SX86.wav,HH IH S P AE N IH K K AA S T UW M Z AA R K W AY T K AH L ER F AH L,HH IH S P AE N IH K K AA S T UW M Z AA R K W AY T K AH L ER F AH L,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
873,DIANE MAY SPLURGE AND BUY A TURQUOISE NECKLACE ,TRAIN/DR3/MWDK0/SX356.wav,D AY AE N M EY S P L ER JH AH N D B AY AH T ER K W OY Z N EH K L AH S,D AY AE N M EY S P L ER JH AH N D B AY AH T ER K W OY Z N EH K L AH S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
874,THOMAS THINKS A LARGER CLAMP SOLVES THE PROBLEM ,TRAIN/DR3/MWDK0/SX446.wav,T AA M AH S TH IH NG K S AH L AA R JH ER K L AE M P S AA L V Z DH AH P R AA B L AH M,T AA M AH S TH IH NG K S AH L AA R JH ER K L AE M P S AA L V Z DH AH P R AA B L AH M,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
875,REMEMBER TO ALLOW IDENTICAL TWINS TO ENTER FREELY ,TRAIN/DR3/FLTM0/SX260.wav,R IH M EH M B ER T UW AH L AW AY D EH N T IH K AH L T W IH N Z T UW EH N T ER F R IY L IY,R IH M EH M B ER T UW AH L AW AY D EH N T IH K AH L T W IH N Z T UW EH N T ER F R IY L IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
876,THE MAYAN NEOCLASSIC SCHOLAR DISAPPEARED WHILE SURVEYING ANCIENT RUINS ,TRAIN/DR3/FLTM0/SX170.wav,DH AH M AY AH N N IY OW K L AE S IH K S K AA L ER D IH S AH P IH R D W AY L S ER V EY IH NG EY N CH AH N T R UW AH N Z,DH AH M AY AH N N IY OW K L AE S IH K S K AA L ER D IH S AH P IH R D W AY L S ER V EY IH NG EY N CH AH N T R UW AH N Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
877,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR3/FLTM0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
878,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR3/FLTM0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
879,MANY WEALTHY TYCOONS SPLURGED AND BOUGHT BOTH A YACHT AND A SCHOONER ,TRAIN/DR3/FLTM0/SX350.wav,M EH N IY W EH L TH IY T AY K UW N Z S P L ER JH D AH N D B AA T B OW TH AH Y AA T AH N D AH S K UW N ER,M EH N IY W EH L TH IY T AY K UW N Z S P L ER JH D AH N D B AA T B OW TH AH Y AA T AH N D AH S K UW N ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
880,IT'S ILLEGAL TO POSTDATE A CHECK ,TRAIN/DR3/FLTM0/SX80.wav,IH T S IH L IY G AH L T UW P OW S T D EY T AH CH EH K,IH T S IH L IY G AH L T UW P OW S T D EY T AH CH EH K,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
881,I'M GOING TO SEARCH THIS HOUSE ,TRAIN/DR3/FLTM0/SI2330.wav,AY M G OW IH NG T UW S ER CH DH IH S HH AW S,AY M G OW IH NG T UW S ER CH DH IH S HH AW S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
882,THE ADVERTISING VERSE OF PLYMOUTH VARIETY STORE NEVER CHANGES ,TRAIN/DR3/FLTM0/SX440.wav,DH AH AE D V ER T AY Z IH NG V ER S AH V P L IH M AH TH V ER AY AH T IY S T AO R N EH V ER CH EY N JH AH Z,DH AH AE D V ER T AY Z IH NG V ER S AH V P L IH M AH TH V ER AY AH T IY S T AO R N EH V ER CH EY N JH AH Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
883,DO YOU ALWAYS NAVIGATE LIKE THIS ,TRAIN/DR3/FLTM0/SI1070.wav,D UW Y UW AO L W EY Z N AE V AH G EY T L AY K DH IH S,D UW Y UW AO L W EY Z N AE V AH G EY T L AY K DH IH S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
884,TAKE YOUR COBBLER'S SHOP SOMEWHERE ELSE ,TRAIN/DR3/FLTM0/SI1700.wav,T EY K Y AO R K AA B L ER Z SH AA P S AH M W EH R EH L S,T EY K Y AO R K AA B L ER Z SH AA P S AH M W EH R EH L S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
885,CLIFF'S DISPLAY WAS MISPLACED ON THE SCREEN ,TRAIN/DR3/MCDD0/SX73.wav,K L IH F S D IH S P L EY W AA Z M IH S P L EY S T AA N DH AH S K R IY N,K L IH F S D IH S P L EY W AA Z M IH S P L EY S T AA N DH AH S K R IY N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
886,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR3/MCDD0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
887,THEY REMAINED LIFELONG FRIENDS AND COMPANIONS ,TRAIN/DR3/MCDD0/SX163.wav,DH EY R IH M EY N D L AY F L AO NG F R EH N D Z AH N D K AH M P AE N Y AH N Z,DH EY R IH M EY N D L AY F L AO NG F R EH N D Z AH N D K AH M P AE N Y AH N Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
888,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR3/MCDD0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
889,THE FRIGHTENED CHILD WAS GENTLY SUBDUED BY HIS BIG BROTHER ,TRAIN/DR3/MCDD0/SX343.wav,DH AH F R AY T AH N D CH AY L D W AA Z JH EH N T L IY S AH B D UW D B AY HH IH Z B IH G B R AH DH ER,DH AH F R AY T AH N D CH AY L D W AA Z JH EH N T L IY S AH B D UW D B AY HH IH Z B IH G B R AH DH ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
890,THE OVERWEIGHT CHARMER COULD SLIP POISON INTO ANYONE'S TEA ,TRAIN/DR3/MCDD0/SX433.wav,DH AH OW V ER W EY T CH AA R M ER K UH D S L IH P P OY Z AH N IH N T UW EH N IY W AH N Z T IY,DH AH OW V ER W EY T CH AA R M ER K UH D S L IH P P OY Z AH N IH N T UW EH N IY W AH N Z T IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
891,ANY RETALIATORY GAS ATTACK WOULD BE AIRBORNE ,TRAIN/DR3/MCDD0/SI883.wav,EH N IY R IY T AE L Y AH T AO R IY G AE S AH T AE K W UH D B IY EH R B AO R N,EH N IY R IY T AE L Y AH T AO R IY G AE S AH T AE K W UH D B IY EH R B AO R N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
892,BY EATING YOGURT  YOU MAY LIVE LONGER ,TRAIN/DR3/MCDD0/SX253.wav,B AY IY T IH NG Y OW G ER T Y UW M EY L AY V L AO NG G ER,B AY IY T IH NG Y OW G ER T Y UW M EY L AY V L AO NG G ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
893,WHY PUT SUCH A HIGH VALUE ON BEING TOP DOG ,TRAIN/DR3/MCDD0/SI2143.wav,W AY P UH T S AH CH AH HH AY V AE L Y UW AA N B IY IH NG T AA P D AO G,W AY P UH T S AH CH AH HH AY V AE L Y UW AA N B IY IH NG T AA P D AO G,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
894,HE CHUCKLED  THE MEMORY VIVID ,TRAIN/DR3/MCDD0/SI1513.wav,HH IY CH AH K AH L D DH AH M EH M ER IY V IH V IH D,HH IY CH AH K AH L D DH AH M EH M ER IY V IH V IH D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
895,WATCH IT  BIG SHOT  A HOARSE VOICE YELLED BACK ,TRAIN/DR3/MDWM0/SI2176.wav,W AA CH IH T B IH G SH AA T AH HH AO R S V OY S Y EH L D B AE K,W AA CH IH T B IH G SH AA T AH HH AO R S V OY S Y EH L D B AE K,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
896,A HUGE TAPESTRY HUNG IN HER HALLWAY ,TRAIN/DR3/MDWM0/SX106.wav,AH HH Y UW JH T AE P AH S T R IY HH AH NG IH N HH ER HH AO L W EY,AH HH Y UW JH T AE P AH S T R IY HH AH NG IH N HH ER HH AO L W EY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
897,SOME MAKE BEAUTIFUL CHAIRS  CABINETS  CHESTS  DOLL HOUSES  ETC  ,TRAIN/DR3/MDWM0/SI916.wav,S AH M M EY K B Y UW T AH F AH L CH EH R Z K AE B AH N AH T S CH EH S T S D AA L HH AW S AH Z EH T S EH T ER AH,S AH M M EY K B Y UW T AH F AH L CH EH R Z K AE B AH N AH T S CH EH S T S D AA L HH AW S AH Z EH T S EH T ER AH,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
898,A ROLL OF WIRE LAY NEAR THE WALL ,TRAIN/DR3/MDWM0/SX16.wav,AH R OW L AH V W AY ER L EY N IH R DH AH W AO L,AH R OW L AH V W AY ER L EY N IH R DH AH W AO L,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
899,WOMEN MAY NEVER BECOME COMPLETELY EQUAL TO MEN ,TRAIN/DR3/MDWM0/SX376.wav,W IH M AH N M EY N EH V ER B IH K AH M K AH M P L IY T L IY IY K W AH L T UW M EH N,W IH M AH N M EY N EH V ER B IH K AH M K AH M P L IY T L IY IY K W AH L T UW M EH N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
900,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR3/MDWM0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
901,IN THE PITY FOR THEM HIS LONELINESS WAS GONE ,TRAIN/DR3/MDWM0/SI1546.wav,IH N DH AH P IH T IY F AO R DH EH M HH IH Z L OW N L IY N AH S W AA Z G AO N,IH N DH AH P IH T IY F AO R DH EH M HH IH Z L OW N L IY N AH S W AA Z G AO N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
902,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR3/MDWM0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
903,THE OVERWEIGHT CHARMER COULD SLIP POISON INTO ANYONE'S TEA ,TRAIN/DR3/MDWM0/SX433.wav,DH AH OW V ER W EY T CH AA R M ER K UH D S L IH P P OY Z AH N IH N T UW EH N IY W AH N Z T IY,DH AH OW V ER W EY T CH AA R M ER K UH D S L IH P P OY Z AH N IH N T UW EH N IY W AH N Z T IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
904,IN EVERY MAJOR CLOVERLEAF  TRAFFIC SOMETIMES GETS BACKED UP ,TRAIN/DR3/MDWM0/SX286.wav,IH N EH V ER IY M EY JH ER K L OW V ER L IY F T R AE F IH K S AH M T AY M Z G EH T S B AE K T AH P,IH N EH V ER IY M EY JH ER K L OW V ER L IY F T R AE F IH K S AH M T AY M Z G EH T S B AE K T AH P,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
905,FORGET WE EVER KNEW WHAT ,TRAIN/DR3/FLAC0/SI2161.wav,F ER G EH T W IY EH V ER N UW W AH T,F ER G EH T W IY EH V ER N UW W AH T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
906,MILK APPEARS TWICE A DAY ,TRAIN/DR3/FLAC0/SI901.wav,M IH L K AH P IH R Z T W AY S AH D EY,M IH L K AH P IH R Z T W AY S AH D EY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
907,BE CAREFUL NOT TO PLOW OVER THE FLOWER BEDS ,TRAIN/DR3/FLAC0/SX271.wav,B IY K EH R F AH L N AA T T UW P L AW OW V ER DH AH F L AW ER B EH D Z,B IY K EH R F AH L N AA T T UW P L AW OW V ER DH AH F L AW ER B EH D Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
908,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR3/FLAC0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
909,THE SPEECH SYMPOSIUM MIGHT BEGIN MONDAY ,TRAIN/DR3/FLAC0/SX361.wav,DH AH S P IY CH S IH M P OW Z IY AH M M AY T B IH G IH N M AH N D IY,DH AH S P IY CH S IH M P OW Z IY AH M M AY T B IH G IH N M AH N D IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
910,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR3/FLAC0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
911,THE MISPRINT PROVOKED AN IMMEDIATE DISCLAIMER ,TRAIN/DR3/FLAC0/SX91.wav,DH AH M IH S P R IH N T P R AH V OW K T AE N IH M IY D IY AH T D IH S K L EY M ER,DH AH M IH S P R IH N T P R AH V OW K T AE N IH M IY D IY AH T D IH S K L EY M ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
912,RICH LOOKED FOR SPOTTED HYENAS AND JAGUARS ON THE SAFARI ,TRAIN/DR3/FLAC0/SX181.wav,R IH CH L UH K T F AO R S P AA T IH D HH AY IY N AH Z AH N D JH AE G W AA R Z AA N DH AH S AH F AA R IY,R IH CH L UH K T F AO R S P AA T IH D HH AY IY N AH Z AH N D JH AE G W AA R Z AA N DH AH S AH F AA R IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
913,OF PARTICULAR IMPORTANCE IS THE STUDY OF THE ACTIONS OF DRUGS IN THIS RESPECT ,TRAIN/DR3/FLAC0/SI1339.wav,AH V P ER T IH K Y AH L ER IH M P AO R T AH N S IH Z DH AH S T AH D IY AH V DH AH AE K SH AH N Z AH V D R AH G Z IH N DH IH S R IH S P EH K T,AH V P ER T IH K Y AH L ER IH M P AO R T AH N S IH Z DH AH S T AH D IY AH V DH AH AE K SH AH N Z AH V D R AH G Z IH N DH IH S R IH S P EH K T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
914,THE THICK ELM FOREST WAS NEARLY OVERWHELMED BY DUTCH ELM DISEASE ,TRAIN/DR3/FLAC0/SX451.wav,DH AH TH IH K EH L M F AO R AH S T W AA Z N IH R L IY OW V ER W EH L M D B AY D AH CH EH L M D IH Z IY Z,DH AH TH IH K EH L M F AO R AH S T W AA Z N IH R L IY OW V ER W EH L M D B AY D AH CH EH L M D IH Z IY Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
915,THEN SIMMER FIFTEEN MINUTES LONGER ,TRAIN/DR3/MMEB0/SI727.wav,DH EH N S IH M ER F IH F T IY N M IH N AH T S L AO NG G ER,DH EH N S IH M ER F IH F T IY N M IH N AH T S L AO NG G ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
916,NOTHING IS AS OFFENSIVE AS INNOCENCE ,TRAIN/DR3/MMEB0/SX7.wav,N AH TH IH NG IH Z AE Z AH F EH N S IH V AE Z IH N AH S AH N S,N AH TH IH NG IH Z AE Z AH F EH N S IH V AE Z IH N AH S AH N S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
917,THE SURPLUS SHOES WERE SOLD AT A DISCOUNT PRICE ,TRAIN/DR3/MMEB0/SX367.wav,DH AH S ER P L AH S SH UW Z W ER S OW L D AE T AH D IH S K AW N T P R AY S,DH AH S ER P L AH S SH UW Z W ER S OW L D AE T AH D IH S K AW N T P R AY S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
918,THE POPULATION CAN THEREBY REPLENISH ITSELF AND ACTUALLY GROW LARGER ,TRAIN/DR3/MMEB0/SI1357.wav,DH AH P AA P Y AH L EY SH AH N K AE N DH EH R B AY R IY P L EH N IH SH IH T S EH L F AH N D AE K CH UW AH L IY G R OW L AA R JH ER,DH AH P AA P Y AH L EY SH AH N K AE N DH EH R B AY R IY P L EH N IH SH IH T S EH L F AH N D AE K CH UW AH L IY G R OW L AA R JH ER,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
919,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR3/MMEB0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
920,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR3/MMEB0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
921,THEY OFTEN GO OUT IN THE EVENING ,TRAIN/DR3/MMEB0/SX187.wav,DH EY AO F T AH N G OW AW T IH N DH AH IY V N IH NG,DH EY AO F T AH N G OW AW T IH N DH AH IY V N IH NG,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
922,ANYWAY  IT WAS EVIDENT WHAT HE HAD IN MIND ,TRAIN/DR3/MMEB0/SI1987.wav,EH N IY W EY IH T W AA Z EH V AH D AH N T W AH T HH IY HH AE D IH N M AY N D,EH N IY W EY IH T W AA Z EH V AH D AH N T W AH T HH IY HH AE D IH N M AY N D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
923,PENGUINS LIVE NEAR THE ICY ANTARCTIC ,TRAIN/DR3/MMEB0/SX97.wav,P EH NG G W AH N Z L AY V N IH R DH AH AY S IY AE N T AA R K T IH K,P EH NG G W AH N Z L AY V N IH R DH AH AY S IY AE N T AA R K T IH K,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
924,AL RECEIVED A JOINT APPOINTMENT IN THE BIOLOGY AND THE ENGINEERING DEPARTMENTS ,TRAIN/DR3/MMEB0/SX327.wav,AE L R AH S IY V D AH JH OY N T AH P OY N T M AH N T IH N DH AH B AY AA L AH JH IY AH N D DH AH EH N JH AH N IH R IH NG D IH P AA R T M AH N T S,AE L R AH S IY V D AH JH OY N T AH P OY N T M AH N T IH N DH AH B AY AA L AH JH IY AH N D DH AH EH N JH AH N IH R IH NG D IH P AA R T M AH N T S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
925,THE BLUEJAY FLEW OVER THE HIGH BUILDING ,TRAIN/DR3/MTKP0/SX303.wav,DH AH B L UW JH EY F L UW OW V ER DH AH HH AY B IH L D IH NG,DH AH B L UW JH EY F L UW OW V ER DH AH HH AY B IH L D IH NG,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
